"Role","Principal","PrincipalId"
"Global Administrator","Lab BG Admin 02","REDACTED"
"Global Administrator","Lab BG Admin 01","REDACTED"
"Global Administrator","Pavel Dvorak","REDACTED"
"Identity Governance Administrator","Lab User 03","REDACTED"
"Directory Readers","Microsoft.Azure.SyncFabric","REDACTED"
"Attribute Assignment Administrator","Pavel Dvorak","REDACTED"
"Attribute Definition Administrator","Pavel Dvorak","REDACTED"
"User Administrator","Lab User 02","REDACTED"
"User Administrator","Lab User 01","REDACTED"
